wavelength_Angstroms,flux,uncertainty
12828.54,0.8961,0.03
12828.73,0.8748,0.03
12828.91,0.901,0.03
12829.1,0.9267,0.03
12829.28,1.006,0.03
12829.47,1.0962,0.03
12829.65,1.1312,0.03
12829.83,1.1372,0.03
12830.02,1.1552,0.03
12830.2,1.2058,0.03
12830.39,1.162,0.03
12830.57,1.1015,0.03
12830.76,1.0523,0.03
12830.94,1.0402,0.03
12831.13,0.9797,0.03
12831.31,1.0768,0.03
12831.5,0.957,0.03
12831.68,0.8427,0.03
12831.87,0.7878,0.03
12832.05,0.7579,0.03
12832.23,0.823,0.03
12832.42,0.8804,0.03
12832.6,0.8524,0.03
12832.79,0.7661,0.03
12832.97,0.6723,0.03
12833.16,0.6741,0.03
12833.34,0.683,0.03
12833.53,0.7143,0.03
12833.71,0.6971,0.03
12833.9,0.6448,0.03
12834.08,0.5217,0.03
12834.26,0.4317,0.03
12834.45,0.5389,0.03
12834.63,0.5073,0.03
12834.82,0.58,0.03
12835.0,0.5824,0.03
12835.19,0.7564,0.03
12835.37,0.8385,0.03
12835.56,0.9072,0.03
12835.74,0.9923,0.03
12835.93,1.0321,0.03
12836.11,0.997,0.03
12836.3,0.9753,0.03
12836.48,1.0434,0.03
12836.66,1.0946,0.03
12836.85,1.0778,0.03
12837.03,0.9653,0.03
12837.22,1.0372,0.03
12837.4,1.1036,0.03
12837.59,1.0631,0.03
12837.77,1.0817,0.03
12837.96,0.9932,0.03
12838.14,0.9156,0.03
12838.33,0.9428,0.03
12838.51,0.9655,0.03
12838.69,0.9913,0.03
12838.88,0.9322,0.03
12839.06,1.0314,0.03
12839.25,1.0778,0.03
12839.43,1.0463,0.03
12839.62,0.989,0.03
12839.8,0.9735,0.03
12839.99,0.995,0.03
12840.17,1.0249,0.03
12840.36,1.0552,0.03
12840.54,1.107,0.03
12840.73,1.1279,0.03
12840.91,1.1121,0.03
12841.09,1.0544,0.03
12841.28,0.9719,0.03
12841.46,0.8517,0.03
12841.65,0.8649,0.03
12841.83,0.8661,0.03
12842.02,0.9502,0.03
12842.2,0.9935,0.03
12842.39,0.9979,0.03
12842.57,1.0083,0.03
12842.76,1.1243,0.03
12842.94,1.0144,0.03
12843.13,1.0956,0.03
12843.31,1.0624,0.03
12843.5,1.0847,0.03
12843.68,1.1563,0.03
12843.86,1.2265,0.03
12844.05,1.1786,0.03
12844.23,1.1499,0.03
12844.42,1.1333,0.03
12844.6,1.171,0.03
12844.79,1.1719,0.03
12844.97,1.1216,0.03
12845.16,1.0173,0.03
12845.34,0.8861,0.03
12845.53,0.7739,0.03
12845.71,0.6817,0.03
12845.9,0.7728,0.03
12846.08,0.9491,0.03
12846.26,1.0778,0.03
12846.45,1.185,0.03
12846.63,1.1938,0.03
12846.82,1.2763,0.03
12847.0,1.2422,0.03
12847.19,1.2658,0.03
12847.37,1.237,0.03
12847.56,1.1829,0.03
12847.74,1.1887,0.03
12847.93,1.058,0.03
12848.11,0.9403,0.03
12848.3,0.9224,0.03
12848.48,0.9714,0.03
12848.66,1.0119,0.03
12848.85,1.101,0.03
12849.03,1.1419,0.03
12849.22,1.0132,0.03
12849.4,0.9152,0.03
12849.59,0.8997,0.03
12849.77,0.9653,0.03
12849.96,1.115,0.03
12850.14,1.1189,0.03
12850.33,1.0534,0.03
12850.51,1.0277,0.03
12850.7,0.9375,0.03
12850.88,0.9218,0.03
12851.06,1.0307,0.03
12851.25,0.9981,0.03
12851.43,0.9384,0.03
12851.62,1.0017,0.03
12851.8,1.0918,0.03
12851.99,1.1507,0.03
12852.17,1.1924,0.03
12852.36,1.2183,0.03
12852.54,1.1945,0.03
12852.73,1.2132,0.03
12852.91,1.2092,0.03
12853.1,1.1504,0.03
12853.28,1.1731,0.03
12853.46,1.1267,0.03
12853.65,1.1206,0.03
12853.83,1.1258,0.03
12854.02,1.1001,0.03
12854.2,1.096,0.03
12854.39,1.0736,0.03
12854.57,1.0216,0.03
12854.76,1.0106,0.03
12854.94,0.9652,0.03
12855.13,0.9493,0.03
12855.31,0.8976,0.03
12855.49,0.9362,0.03
12855.68,0.9692,0.03
12855.86,0.9496,0.03
12856.05,1.0141,0.03
12856.23,1.0848,0.03
12856.42,1.1267,0.03
12856.6,1.1394,0.03
12856.79,1.1681,0.03
12856.97,1.1459,0.03
12857.16,1.114,0.03
12857.34,1.0873,0.03
12857.53,1.0871,0.03
12857.71,1.1199,0.03
12857.9,1.1298,0.03
12858.08,1.1777,0.03
12858.26,1.1604,0.03
12858.45,1.1053,0.03
12858.63,1.1376,0.03
12858.82,1.2149,0.03
12859.0,1.1385,0.03
12859.19,1.1262,0.03
12859.37,0.9658,0.03
12859.56,0.9081,0.03
12859.74,0.7603,0.03
12859.93,0.5682,0.03
12860.11,0.6069,0.03
12860.3,0.714,0.03
12860.48,0.8382,0.03
12860.66,0.9677,0.03
12860.85,0.9425,0.03
12861.03,0.9528,0.03
12861.22,0.9096,0.03
12861.4,0.8362,0.03
12861.59,0.7987,0.03
12861.77,0.8323,0.03
12861.96,0.6909,0.03
12862.14,0.6379,0.03
12862.33,0.563,0.03
12862.51,0.6476,0.03
12862.69,0.7672,0.03
12862.88,0.8821,0.03
12863.06,0.9478,0.03
12863.25,0.9058,0.03
12863.43,0.8305,0.03
12863.62,0.8002,0.03
12863.8,0.7131,0.03
12863.99,0.7143,0.03
12864.17,0.7554,0.03
12864.36,0.7983,0.03
12864.54,0.8472,0.03
12864.73,0.8053,0.03
12864.91,0.8408,0.03
12865.09,0.7693,0.03
12865.28,0.8533,0.03
12865.46,0.8116,0.03
12865.65,0.756,0.03
12865.83,0.7551,0.03
12866.02,0.7217,0.03
12866.2,0.7555,0.03
12866.39,0.8851,0.03
12866.57,1.0425,0.03
12866.76,1.0893,0.03
12866.94,1.0517,0.03
