wavelength_Angstroms,flux,uncertainty
12828.54,0.999,0.06
12828.73,1.0187,0.06
12828.91,1.0709,0.06
12829.1,0.9877,0.06
12829.28,0.9876,0.06
12829.47,1.0031,0.06
12829.65,1.0369,0.06
12829.83,0.9564,0.06
12830.02,0.8085,0.06
12830.2,0.8602,0.06
12830.39,0.6566,0.06
12830.57,0.7587,0.06
12830.76,0.6681,0.06
12830.94,0.6441,0.06
12831.13,0.6882,0.06
12831.31,0.6759,0.06
12831.5,0.6674,0.06
12831.68,0.7468,0.06
12831.87,0.6368,0.06
12832.05,0.7517,0.06
12832.23,0.7281,0.06
12832.42,0.7012,0.06
12832.6,0.7842,0.06
12832.79,0.6859,0.06
12832.97,0.787,0.06
12833.16,0.7535,0.06
12833.34,0.7199,0.06
12833.53,0.7778,0.06
12833.71,0.861,0.06
12833.9,0.8568,0.06
12834.08,0.9016,0.06
12834.26,1.0178,0.06
12834.45,0.7874,0.06
12834.63,0.9929,0.06
12834.82,1.0325,0.06
12835.0,1.1807,0.06
12835.19,1.0909,0.06
12835.37,1.2484,0.06
12835.56,1.1048,0.06
12835.74,1.1502,0.06
12835.93,1.276,0.06
12836.11,1.178,0.06
12836.3,1.2442,0.06
12836.48,1.1981,0.06
12836.66,1.3279,0.06
12836.85,1.2453,0.06
12837.03,1.2889,0.06
12837.22,1.2505,0.06
12837.4,1.2158,0.06
12837.59,1.2543,0.06
12837.77,1.2802,0.06
12837.96,1.2436,0.06
12838.14,1.3409,0.06
12838.33,1.2099,0.06
12838.51,1.4002,0.06
12838.69,1.4335,0.06
12838.88,1.373,0.06
12839.06,1.3402,0.06
12839.25,1.486,0.06
12839.43,1.3976,0.06
12839.62,1.4164,0.06
12839.8,1.4988,0.06
12839.99,1.5441,0.06
12840.17,1.5099,0.06
12840.36,1.527,0.06
12840.54,1.4901,0.06
12840.73,1.6027,0.06
12840.91,1.5342,0.06
12841.09,1.5354,0.06
12841.28,1.4391,0.06
12841.46,1.5113,0.06
12841.65,1.4768,0.06
12841.83,1.5038,0.06
12842.02,1.4913,0.06
12842.2,1.58,0.06
12842.39,1.572,0.06
12842.57,1.5039,0.06
12842.76,1.6344,0.06
12842.94,1.4718,0.06
12843.13,1.4723,0.06
12843.31,1.4714,0.06
12843.5,1.4014,0.06
12843.68,1.4428,0.06
12843.86,1.3182,0.06
12844.05,1.3203,0.06
12844.23,1.3787,0.06
12844.42,1.351,0.06
12844.6,1.3547,0.06
12844.79,1.2841,0.06
12844.97,1.204,0.06
12845.16,1.1495,0.06
12845.34,1.2006,0.06
12845.53,1.2439,0.06
12845.71,1.1312,0.06
12845.9,1.1543,0.06
12846.08,1.3615,0.06
12846.26,1.1928,0.06
12846.45,1.1756,0.06
12846.63,1.1389,0.06
12846.82,1.2004,0.06
12847.0,1.0215,0.06
12847.19,1.0584,0.06
12847.37,1.03,0.06
12847.56,0.994,0.06
12847.74,0.9819,0.06
12847.93,1.0066,0.06
12848.11,0.9267,0.06
12848.3,0.8456,0.06
12848.48,0.8975,0.06
12848.66,0.7657,0.06
12848.85,0.9628,0.06
12849.03,0.86,0.06
12849.22,0.9549,0.06
12849.4,0.986,0.06
12849.59,0.9166,0.06
12849.77,1.0684,0.06
12849.96,0.9017,0.06
12850.14,0.9758,0.06
12850.33,1.0221,0.06
12850.51,1.1113,0.06
12850.7,1.142,0.06
12850.88,1.0235,0.06
12851.06,1.1324,0.06
12851.25,1.0991,0.06
12851.43,1.1766,0.06
12851.62,1.3258,0.06
12851.8,1.3751,0.06
12851.99,1.2454,0.06
12852.17,1.2812,0.06
12852.36,1.3122,0.06
12852.54,1.3915,0.06
12852.73,1.4041,0.06
12852.91,1.3586,0.06
12853.1,1.3971,0.06
12853.28,1.307,0.06
12853.46,1.5003,0.06
12853.65,1.4243,0.06
12853.83,1.5101,0.06
12854.02,1.5285,0.06
12854.2,1.5334,0.06
12854.39,1.5534,0.06
12854.57,1.4012,0.06
12854.76,1.537,0.06
12854.94,1.586,0.06
12855.13,1.5536,0.06
12855.31,1.453,0.06
12855.49,1.5268,0.06
12855.68,1.4521,0.06
12855.86,1.5796,0.06
12856.05,1.5476,0.06
12856.23,1.459,0.06
12856.42,1.497,0.06
12856.6,1.4006,0.06
12856.79,1.4396,0.06
12856.97,1.3309,0.06
12857.16,1.4625,0.06
12857.34,1.4377,0.06
12857.53,1.4802,0.06
12857.71,1.366,0.06
12857.9,1.2304,0.06
12858.08,1.2606,0.06
12858.26,1.1538,0.06
12858.45,1.0697,0.06
12858.63,0.9818,0.06
12858.82,1.0182,0.06
12859.0,0.9167,0.06
12859.19,0.8729,0.06
12859.37,0.8824,0.06
12859.56,0.778,0.06
12859.74,0.9589,0.06
12859.93,0.783,0.06
12860.11,0.7155,0.06
12860.3,0.7612,0.06
12860.48,0.7037,0.06
12860.66,0.7216,0.06
12860.85,0.6843,0.06
12861.03,0.6924,0.06
12861.22,0.5476,0.06
12861.4,0.6678,0.06
12861.59,0.6067,0.06
12861.77,0.5063,0.06
12861.96,0.5975,0.06
12862.14,0.6061,0.06
12862.33,0.4916,0.06
12862.51,0.6441,0.06
12862.69,0.5876,0.06
12862.88,0.653,0.06
12863.06,0.622,0.06
12863.25,0.5324,0.06
12863.43,0.6821,0.06
12863.62,0.678,0.06
12863.8,0.6527,0.06
12863.99,0.5352,0.06
12864.17,0.4832,0.06
12864.36,0.5995,0.06
12864.54,0.6433,0.06
12864.73,0.7009,0.06
12864.91,0.7226,0.06
12865.09,0.5698,0.06
12865.28,0.5793,0.06
12865.46,0.6438,0.06
12865.65,0.6425,0.06
12865.83,0.7526,0.06
12866.02,0.7508,0.06
12866.2,0.7808,0.06
12866.39,0.8286,0.06
12866.57,0.7413,0.06
12866.76,0.8018,0.06
12866.94,0.7566,0.06
12867.13,0.8773,0.06
12867.31,0.9296,0.06
12867.5,0.9269,0.06
12867.68,0.8578,0.06
12867.86,1.0153,0.06
12868.05,0.9871,0.06
12868.23,1.0232,0.06
12868.42,0.9657,0.06
12868.6,1.095,0.06
12868.79,0.9596,0.06
12868.97,1.1177,0.06
12869.16,1.0738,0.06
