wavelength_Angstroms,flux,uncertainty
12828.54,0.9366,0.07
12828.73,0.8671,0.07
12828.91,0.7186,0.07
12829.1,0.895,0.07
12829.28,1.068,0.07
12829.47,1.1242,0.07
12829.65,1.2853,0.07
12829.83,1.064,0.07
12830.02,1.176,0.07
12830.2,1.145,0.07
12830.39,1.2609,0.07
12830.57,1.1799,0.07
12830.76,1.2195,0.07
12830.94,1.1659,0.07
12831.13,1.3183,0.07
12831.31,1.195,0.07
12831.5,0.8999,0.07
12831.68,1.0789,0.07
12831.87,0.7328,0.07
12832.05,0.6051,0.07
12832.23,0.7669,0.07
12832.42,0.673,0.07
12832.6,0.8548,0.07
12832.79,0.9365,0.07
12832.97,1.0338,0.07
12833.16,1.035,0.07
12833.34,1.0208,0.07
12833.53,0.8868,0.07
12833.71,0.9309,0.07
12833.9,0.8654,0.07
12834.08,0.8734,0.07
12834.26,0.8287,0.07
12834.45,0.6369,0.07
12834.63,0.7644,0.07
12834.82,0.8349,0.07
12835.0,0.8481,0.07
12835.19,1.0058,0.07
12835.37,0.9915,0.07
12835.56,1.1209,0.07
12835.74,1.1377,0.07
12835.93,1.1704,0.07
12836.11,1.148,0.07
12836.3,1.1636,0.07
12836.48,1.1196,0.07
12836.66,1.1433,0.07
12836.85,1.0858,0.07
12837.03,1.128,0.07
12837.22,1.1326,0.07
12837.4,1.1946,0.07
12837.59,1.1246,0.07
12837.77,1.1395,0.07
12837.96,1.1386,0.07
12838.14,1.1842,0.07
12838.33,1.1712,0.07
12838.51,1.1111,0.07
12838.69,1.2659,0.07
12838.88,1.1295,0.07
12839.06,1.0181,0.07
12839.25,1.0083,0.07
12839.43,0.9788,0.07
12839.62,1.0761,0.07
12839.8,0.8267,0.07
12839.99,0.7304,0.07
12840.17,0.6488,0.07
12840.36,0.5539,0.07
12840.54,0.689,0.07
12840.73,0.8018,0.07
12840.91,0.9076,0.07
12841.09,0.8701,0.07
12841.28,0.7656,0.07
12841.46,0.7437,0.07
12841.65,0.8762,0.07
12841.83,0.7909,0.07
12842.02,0.9491,0.07
12842.2,1.0348,0.07
12842.39,0.8455,0.07
12842.57,0.8064,0.07
12842.76,0.7814,0.07
12842.94,0.944,0.07
12843.13,0.9378,0.07
12843.31,1.0945,0.07
12843.5,1.0309,0.07
12843.68,1.296,0.07
12843.86,1.2473,0.07
12844.05,1.2972,0.07
12844.23,1.282,0.07
12844.42,1.3621,0.07
12844.6,1.1717,0.07
12844.79,1.3594,0.07
12844.97,1.1571,0.07
12845.16,1.1267,0.07
12845.34,1.0713,0.07
12845.53,1.0828,0.07
12845.71,0.9682,0.07
12845.9,0.9749,0.07
12846.08,1.0113,0.07
12846.26,0.9938,0.07
12846.45,1.0481,0.07
12846.63,1.1291,0.07
12846.82,1.1605,0.07
12847.0,1.2219,0.07
12847.19,1.2969,0.07
12847.37,1.0735,0.07
12847.56,1.0656,0.07
12847.74,0.841,0.07
12847.93,0.8531,0.07
12848.11,0.7076,0.07
12848.3,0.8463,0.07
12848.48,0.8984,0.07
12848.66,0.9355,0.07
12848.85,1.0594,0.07
12849.03,1.0592,0.07
12849.22,0.9911,0.07
12849.4,1.0295,0.07
12849.59,0.9391,0.07
12849.77,1.0174,0.07
12849.96,1.1866,0.07
12850.14,1.1452,0.07
12850.33,1.1916,0.07
12850.51,1.2041,0.07
12850.7,1.0814,0.07
12850.88,1.1754,0.07
12851.06,1.1509,0.07
12851.25,1.2733,0.07
12851.43,1.15,0.07
12851.62,1.2547,0.07
12851.8,1.1842,0.07
12851.99,1.159,0.07
12852.17,1.2053,0.07
12852.36,1.143,0.07
12852.54,1.0792,0.07
12852.73,1.0624,0.07
12852.91,1.0122,0.07
12853.1,0.9609,0.07
12853.28,1.1193,0.07
12853.46,1.1165,0.07
12853.65,1.1493,0.07
12853.83,1.2845,0.07
12854.02,1.1774,0.07
12854.2,1.0462,0.07
12854.39,1.0553,0.07
12854.57,0.8349,0.07
12854.76,1.0616,0.07
12854.94,0.8769,0.07
12855.13,0.9274,0.07
12855.31,0.9057,0.07
12855.49,1.236,0.07
12855.68,1.1585,0.07
12855.86,0.9778,0.07
12856.05,1.1055,0.07
12856.23,1.068,0.07
12856.42,1.0791,0.07
12856.6,1.0646,0.07
12856.79,1.1321,0.07
12856.97,0.9202,0.07
12857.16,1.0734,0.07
12857.34,0.9343,0.07
12857.53,1.0841,0.07
12857.71,1.1729,0.07
12857.9,1.0013,0.07
12858.08,0.8405,0.07
12858.26,0.8702,0.07
12858.45,0.7232,0.07
12858.63,0.8552,0.07
12858.82,0.6998,0.07
12859.0,0.8392,0.07
12859.19,0.9185,0.07
12859.37,0.7813,0.07
12859.56,0.6866,0.07
12859.74,0.7757,0.07
12859.93,0.525,0.07
12860.11,0.4996,0.07
12860.3,0.5749,0.07
12860.48,0.6092,0.07
12860.66,0.772,0.07
12860.85,0.8663,0.07
12861.03,0.7754,0.07
12861.22,0.7623,0.07
12861.4,0.888,0.07
12861.59,0.8379,0.07
12861.77,0.8682,0.07
12861.96,0.5537,0.07
12862.14,0.6186,0.07
12862.33,0.6872,0.07
12862.51,0.7893,0.07
12862.69,0.8571,0.07
12862.88,0.8526,0.07
12863.06,0.6351,0.07
12863.25,0.7465,0.07
12863.43,0.7378,0.07
12863.62,0.7963,0.07
12863.8,0.7265,0.07
12863.99,0.7948,0.07
12864.17,0.6967,0.07
12864.36,0.862,0.07
12864.54,0.896,0.07
12864.73,0.8047,0.07
12864.91,0.8084,0.07
12865.09,0.7989,0.07
12865.28,0.9027,0.07
12865.46,0.7791,0.07
12865.65,0.8693,0.07
12865.83,0.8108,0.07
12866.02,0.6506,0.07
12866.2,0.7565,0.07
12866.39,0.7307,0.07
12866.57,0.6393,0.07
12866.76,0.8164,0.07
12866.94,0.7626,0.07
12867.13,1.0156,0.07
12867.31,0.8818,0.07
12867.5,1.1293,0.07
12867.68,0.8419,0.07
12867.86,0.7689,0.07
12868.05,0.7122,0.07
12868.23,0.9836,0.07
12868.42,0.7643,0.07
12868.6,0.76,0.07
12868.79,0.7736,0.07
12868.97,1.0306,0.07
12869.16,0.9599,0.07
12869.34,0.9207,0.07
12869.53,1.0867,0.07
12869.71,0.9688,0.07
12869.9,0.9577,0.07
12870.08,0.8303,0.07
12870.26,0.8082,0.07
12870.45,0.9547,0.07
12870.63,1.0144,0.07
12870.82,0.9283,0.07
12871.0,1.0365,0.07
12871.19,0.9695,0.07
12871.37,1.0467,0.07
12871.56,1.0541,0.07
12871.74,0.8918,0.07
12871.93,0.9513,0.07
12872.11,0.9153,0.07
12872.3,1.0149,0.07
12872.48,0.9741,0.07
12872.66,1.0098,0.07
12872.85,1.1997,0.07
12873.03,1.137,0.07
12873.22,1.0222,0.07
12873.4,1.067,0.07
12873.59,1.0833,0.07
12873.77,1.0524,0.07
12873.96,1.0311,0.07
12874.14,1.1513,0.07
12874.33,1.0701,0.07
12874.51,1.2903,0.07
12874.7,1.153,0.07
12874.88,1.0876,0.07
12875.06,1.1124,0.07
12875.25,1.1951,0.07
12875.43,1.1748,0.07
12875.62,1.1222,0.07
12875.8,1.042,0.07
12875.99,1.0415,0.07
12876.17,0.9265,0.07
12876.36,0.8394,0.07
12876.54,0.7986,0.07
12876.73,0.8447,0.07
12876.91,0.9539,0.07
12877.1,0.7892,0.07
12877.28,0.9124,0.07
12877.46,0.8424,0.07
12877.65,0.6169,0.07
12877.83,0.7367,0.07
12878.02,0.7485,0.07
12878.2,0.6517,0.07
12878.39,0.5867,0.07
12878.57,0.7379,0.07
12878.76,0.6806,0.07
12878.94,0.7067,0.07
12879.13,0.8092,0.07
12879.31,1.0412,0.07
12879.5,1.0608,0.07
12879.68,1.1851,0.07
12879.86,1.1013,0.07
12880.05,1.1697,0.07
12880.23,1.1985,0.07
12880.42,1.1256,0.07
12880.6,1.1891,0.07
12880.79,0.9442,0.07
12880.97,1.1215,0.07
12881.16,0.9852,0.07
12881.34,1.1351,0.07
12881.52,1.073,0.07
12881.71,1.1811,0.07
12881.89,1.2115,0.07
12882.08,1.1012,0.07
12882.26,1.266,0.07
12882.45,1.1977,0.07
12882.63,1.1656,0.07
12882.82,1.1726,0.07
12883.0,1.0418,0.07
12883.19,1.1007,0.07
12883.37,1.0627,0.07
12883.56,0.9308,0.07
12883.74,1.0178,0.07
12883.93,0.9747,0.07
12884.11,0.8461,0.07
12884.3,0.9255,0.07
12884.48,0.8879,0.07
12884.66,0.8725,0.07
12884.85,0.6405,0.07
12885.03,0.8978,0.07
12885.22,0.8551,0.07
12885.4,0.758,0.07
12885.59,0.8661,0.07
12885.77,0.6484,0.07
12885.96,0.6638,0.07
12886.14,0.623,0.07
12886.33,0.5424,0.07
12886.51,0.7108,0.07
12886.69,0.6681,0.07
12886.88,0.6539,0.07
12887.06,0.6187,0.07
12887.25,0.6237,0.07
12887.43,0.7467,0.07
12887.62,0.7164,0.07
12887.8,0.8623,0.07
12887.99,0.765,0.07
12888.17,1.0218,0.07
12888.36,0.8608,0.07
12888.54,0.8557,0.07
12888.73,0.8628,0.07
12888.91,0.7319,0.07
12889.09,0.5209,0.07
12889.28,0.6669,0.07
12889.46,0.5593,0.07
12889.65,0.5776,0.07
12889.83,0.7837,0.07
12890.02,1.0535,0.07
12890.2,1.1192,0.07
12890.39,1.1268,0.07
12890.57,1.1806,0.07
12890.76,1.0882,0.07
12890.94,1.0453,0.07
12891.13,1.0948,0.07
12891.31,1.0575,0.07
12891.5,0.9958,0.07
