wavelength_Angstroms,flux,uncertainty
12828.54,1.3162,0.09
12828.73,1.0884,0.09
12828.91,1.0212,0.09
12829.1,0.8436,0.09
12829.28,0.9423,0.09
12829.47,0.7299,0.09
12829.65,0.6947,0.09
12829.83,0.6213,0.09
12830.02,0.7871,0.09
12830.2,0.7734,0.09
12830.39,0.7983,0.09
12830.57,0.5908,0.09
12830.76,0.5253,0.09
12830.94,0.6346,0.09
12831.13,0.4016,0.09
12831.31,0.4355,0.09
12831.5,0.7509,0.09
12831.68,0.4953,0.09
12831.87,0.6345,0.09
12832.05,0.6658,0.09
12832.23,0.5631,0.09
12832.42,0.5254,0.09
12832.6,0.7733,0.09
12832.79,0.8463,0.09
12832.97,0.7315,0.09
12833.16,0.8547,0.09
12833.34,1.0202,0.09
12833.53,1.0502,0.09
12833.71,1.0735,0.09
12833.9,0.8928,0.09
12834.08,0.9268,0.09
12834.26,1.0675,0.09
12834.45,1.2058,0.09
12834.63,1.0297,0.09
12834.82,0.9989,0.09
12835.0,1.2135,0.09
12835.19,1.1544,0.09
12835.37,1.228,0.09
12835.56,1.2205,0.09
12835.74,1.0571,0.09
12835.93,1.0249,0.09
12836.11,1.189,0.09
12836.3,1.2843,0.09
12836.48,1.3707,0.09
12836.66,1.4087,0.09
12836.85,1.2912,0.09
12837.03,1.292,0.09
12837.22,1.3674,0.09
12837.4,1.3058,0.09
12837.59,1.4195,0.09
12837.77,1.4107,0.09
12837.96,1.2709,0.09
12838.14,1.433,0.09
12838.33,1.3978,0.09
12838.51,1.2992,0.09
12838.69,1.4322,0.09
12838.88,1.6261,0.09
12839.06,1.3316,0.09
12839.25,1.1285,0.09
12839.43,1.3673,0.09
12839.62,1.3274,0.09
12839.8,1.2334,0.09
12839.99,1.3907,0.09
12840.17,1.5642,0.09
12840.36,1.3288,0.09
12840.54,1.4444,0.09
12840.73,1.512,0.09
12840.91,1.3954,0.09
12841.09,1.4392,0.09
12841.28,1.5386,0.09
12841.46,1.3815,0.09
12841.65,1.3887,0.09
12841.83,1.2524,0.09
12842.02,1.4342,0.09
12842.2,1.367,0.09
12842.39,1.2521,0.09
12842.57,1.4275,0.09
12842.76,1.348,0.09
12842.94,1.4884,0.09
12843.13,1.1555,0.09
12843.31,1.2967,0.09
12843.5,1.3099,0.09
12843.68,1.2297,0.09
12843.86,1.2161,0.09
12844.05,1.1226,0.09
12844.23,1.193,0.09
12844.42,1.2377,0.09
12844.6,1.1548,0.09
12844.79,1.2543,0.09
12844.97,1.4087,0.09
12845.16,1.4251,0.09
12845.34,1.2444,0.09
12845.53,1.3791,0.09
12845.71,1.2347,0.09
12845.9,1.3176,0.09
12846.08,1.2434,0.09
12846.26,1.1071,0.09
12846.45,1.3179,0.09
12846.63,1.0221,0.09
12846.82,1.0588,0.09
12847.0,0.9503,0.09
12847.19,0.9426,0.09
12847.37,0.9464,0.09
12847.56,0.7887,0.09
12847.74,0.6764,0.09
12847.93,0.7206,0.09
12848.11,0.6669,0.09
12848.3,0.6911,0.09
12848.48,0.9795,0.09
12848.66,0.6486,0.09
12848.85,0.8004,0.09
12849.03,0.9663,0.09
12849.22,0.9539,0.09
12849.4,0.9539,0.09
12849.59,0.946,0.09
12849.77,0.9139,0.09
12849.96,1.0883,0.09
12850.14,1.0336,0.09
12850.33,1.2238,0.09
12850.51,1.2363,0.09
12850.7,1.2672,0.09
12850.88,1.2449,0.09
12851.06,1.4693,0.09
12851.25,1.292,0.09
12851.43,1.5729,0.09
12851.62,1.4987,0.09
12851.8,1.2997,0.09
12851.99,1.5928,0.09
12852.17,1.5559,0.09
12852.36,1.3729,0.09
12852.54,1.5003,0.09
12852.73,1.4762,0.09
12852.91,1.5454,0.09
12853.1,1.3512,0.09
12853.28,1.366,0.09
12853.46,1.4371,0.09
12853.65,1.334,0.09
12853.83,1.6159,0.09
12854.02,1.7047,0.09
12854.2,1.5499,0.09
12854.39,1.5143,0.09
12854.57,1.555,0.09
12854.76,1.4957,0.09
12854.94,1.5223,0.09
12855.13,1.5702,0.09
12855.31,1.5779,0.09
12855.49,1.6136,0.09
12855.68,1.5878,0.09
12855.86,1.6192,0.09
12856.05,1.6651,0.09
12856.23,1.4259,0.09
12856.42,1.657,0.09
12856.6,1.3891,0.09
12856.79,1.3419,0.09
12856.97,1.3277,0.09
12857.16,1.2777,0.09
12857.34,1.2928,0.09
12857.53,1.1593,0.09
12857.71,1.1562,0.09
12857.9,1.134,0.09
12858.08,0.9821,0.09
12858.26,1.1752,0.09
12858.45,0.9291,0.09
12858.63,1.1043,0.09
12858.82,0.7605,0.09
12859.0,0.9464,0.09
12859.19,0.7203,0.09
12859.37,0.9362,0.09
12859.56,0.8756,0.09
12859.74,0.748,0.09
12859.93,0.9758,0.09
12860.11,0.7819,0.09
12860.3,0.7482,0.09
12860.48,0.7973,0.09
12860.66,0.6652,0.09
12860.85,0.6988,0.09
12861.03,0.6918,0.09
12861.22,0.7797,0.09
12861.4,0.9059,0.09
12861.59,0.684,0.09
12861.77,0.5532,0.09
12861.96,0.9354,0.09
12862.14,0.6293,0.09
12862.33,0.969,0.09
12862.51,0.7762,0.09
12862.69,0.8953,0.09
12862.88,0.7726,0.09
12863.06,0.7018,0.09
12863.25,0.6375,0.09
12863.43,0.6792,0.09
12863.62,0.7718,0.09
12863.8,0.6985,0.09
12863.99,0.6211,0.09
12864.17,0.7162,0.09
12864.36,0.7183,0.09
12864.54,0.7774,0.09
12864.73,0.7939,0.09
12864.91,0.7142,0.09
12865.09,0.8106,0.09
12865.28,0.904,0.09
12865.46,0.829,0.09
12865.65,0.7751,0.09
12865.83,1.181,0.09
12866.02,0.8719,0.09
12866.2,0.9599,0.09
12866.39,0.7182,0.09
12866.57,0.899,0.09
12866.76,0.9181,0.09
12866.94,0.8845,0.09
12867.13,1.0612,0.09
12867.31,1.2649,0.09
12867.5,1.1591,0.09
12867.68,1.258,0.09
12867.86,1.1236,0.09
12868.05,1.1121,0.09
12868.23,1.3142,0.09
12868.42,1.3671,0.09
12868.6,1.3036,0.09
12868.79,1.265,0.09
12868.97,1.2957,0.09
12869.16,1.1757,0.09
12869.34,1.0656,0.09
12869.53,1.0862,0.09
12869.71,1.2128,0.09
12869.9,1.0955,0.09
12870.08,1.2633,0.09
12870.26,1.0599,0.09
12870.45,0.9058,0.09
12870.63,1.1493,0.09
12870.82,1.1602,0.09
12871.0,0.9895,0.09
12871.19,1.0102,0.09
12871.37,1.0218,0.09
12871.56,1.1253,0.09
12871.74,1.2722,0.09
12871.93,1.2882,0.09
12872.11,1.01,0.09
12872.3,1.3117,0.09
12872.48,1.1003,0.09
12872.66,1.1858,0.09
12872.85,1.4322,0.09
12873.03,1.2344,0.09
12873.22,1.2316,0.09
12873.4,1.4338,0.09
12873.59,1.2161,0.09
12873.77,1.3966,0.09
12873.96,1.356,0.09
12874.14,1.3132,0.09
12874.33,1.459,0.09
12874.51,1.3981,0.09
12874.7,1.3596,0.09
12874.88,1.3575,0.09
12875.06,1.4707,0.09
12875.25,1.378,0.09
12875.43,1.3688,0.09
12875.62,1.4067,0.09
12875.8,1.3678,0.09
12875.99,1.4084,0.09
12876.17,1.3349,0.09
12876.36,1.354,0.09
12876.54,1.3397,0.09
12876.73,1.2258,0.09
12876.91,1.4055,0.09
12877.1,1.2566,0.09
12877.28,1.2135,0.09
12877.46,1.1982,0.09
12877.65,1.0671,0.09
